,favorite_count,tweet_id,retweet_count,favor_count,retwe_count,rating_levl,stage
0,38029,892420643555336193,8320,20000-141000,6000-62000,>12,doggo
1,32654,892177421306343426,6144,20000-141000,6000-62000,>12,doggo
2,24582,891815181378084864,4068,20000-141000,3500-6000,12,doggo
3,41384,891689557279858688,8462,20000-141000,6000-62000,>12,doggo
4,39568,891327558926688256,9162,20000-141000,6000-62000,12,doggo
5,19870,891087950875897856,3049,11100-20000,2000-3500,>12,doggo
6,11616,890971913173991426,2019,11100-20000,2000-3500,>12,doggo
7,64189,890729181411237888,18454,20000-141000,6000-62000,>12,doggo
8,27304,890609185150312448,4188,20000-141000,3500-6000,>12,doggo
9,31313,890240255349198849,7215,20000-141000,6000-62000,>12,doggo
10,30097,890006608113172480,7176,20000-141000,6000-62000,>12,doggo
11,27298,889880896479866881,4869,20000-141000,3500-6000,>12,doggo
12,47226,889665388333682689,9832,20000-141000,6000-62000,>12,puppo
13,26652,889638837579907072,4437,20000-141000,3500-6000,12,doggo
14,14841,889531135344209921,2199,11100-20000,2000-3500,>12,puppo
15,24777,889278841981685760,5256,20000-141000,3500-6000,>12,doggo
16,28590,888917238123831296,4402,20000-141000,3500-6000,12,doggo
17,25098,888804989199671297,4200,20000-141000,3500-6000,>12,doggo
18,19463,888554962724278272,3474,11100-20000,2000-3500,>12,doggo
19,21356,888078434458587136,3416,20000-141000,2000-3500,12,doggo
20,29623,887705289381826560,5276,20000-141000,3500-6000,>12,doggo
21,45419,887517139158093824,11429,20000-141000,6000-62000,>12,doggo
22,67774,887473957103951883,17781,20000-141000,6000-62000,>12,doggo
23,33078,887343217045368832,10177,20000-141000,6000-62000,>12,doggo
24,30015,887101392804085760,5839,20000-141000,3500-6000,12,doggo
25,34515,886983233522544640,7606,20000-141000,6000-62000,>12,doggo
26,11841,886736880519319552,3211,11100-20000,2000-3500,>12,doggo
27,22017,886680336477933568,4368,20000-141000,3500-6000,>12,doggo
28,20805,886366144734445568,3131,20000-141000,2000-3500,12,pupper
